                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3583,                 3.9007,                  4.215,                0.00113,                0.09074,                0.00099,                 0.0003,                 3.0297,                 4.6868,                 4.1934,             0.00046751,             0.00046751,             0.00046751
                      2,                 2.7046,                 2.9179,                 3.2817,                0.47818,                0.03267,                0.05133,                0.03104,                 2.4776,                 4.0566,                 3.6162,              0.0009345,              0.0009345,              0.0009345
                      3,                 2.1275,                 2.3987,                 2.5884,                0.22975,                0.42618,                0.23397,                0.14193,                 1.7554,                 3.3381,                 2.3803,              0.0013921,              0.0013921,              0.0013921
                      4,                 1.7807,                 2.0789,                 2.2398,                0.36749,                0.56065,                0.38454,                0.25989,                 1.2475,                 2.4565,                 1.8005,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5926,                 1.8501,                 2.0755,                0.77331,                0.52315,                0.55809,                0.37795,                 1.2423,                 1.7384,                 1.7089,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.4949,                  1.661,                 1.9058,                0.49913,                0.67917,                0.64711,                0.47114,                 1.0333,                 1.4516,                 1.5563,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3435,                 1.4518,                 1.7755,                0.59049,                0.67222,                0.68047,                0.54524,                0.98675,                 1.2082,                 1.4728,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3285,                 1.3766,                 1.7555,                0.90245,                0.58913,                0.67193,                0.56066,                0.97902,                 1.1814,                 1.4958,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.2577,                 1.2663,                 1.6838,                   0.64,                 0.7536,                0.74923,                0.56481,                0.98121,                 1.0567,                 1.4275,                0.00133,                0.00133,                0.00133
                     10,                 1.2077,                 1.2049,                 1.6278,                0.70194,                0.72237,                0.76279,                 0.6056,                0.81812,                0.90982,                 1.3197,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.1181,                 1.1041,                  1.562,                0.77138,                0.74193,                0.77834,                0.60313,                 0.8788,                0.91052,                 1.3739,              0.0013017,              0.0013017,              0.0013017
                     12,                  1.058,                  1.089,                 1.5201,                 0.6137,                0.74954,                0.75502,                0.63922,                0.76944,                 0.9877,                 1.3246,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.0068,                 1.0267,                 1.4693,                0.78332,                0.81511,                 0.8141,                0.66859,                0.75498,                0.76282,                 1.2928,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.0285,                  1.015,                 1.4946,                0.84019,                0.79088,                0.83983,                0.67289,                0.71084,                0.70758,                 1.2357,              0.0012592,              0.0012592,              0.0012592
                     15,                0.95744,                0.95259,                 1.4228,                0.75864,                0.80291,                0.78933,                0.65654,                0.73232,                0.75429,                 1.2595,              0.0012451,              0.0012451,              0.0012451
                     16,                0.95644,                0.92164,                 1.4173,                0.87673,                0.83496,                 0.8706,                0.71425,                0.65065,                0.65345,                 1.2259,              0.0012309,              0.0012309,              0.0012309
                     17,                0.93628,                 0.8902,                 1.4013,                0.85308,                0.86591,                0.86996,                0.73415,                0.61708,                0.61105,                 1.1938,              0.0012168,              0.0012168,              0.0012168
                     18,                0.89437,                0.86563,                 1.3719,                0.81743,                0.88717,                0.85465,                0.71862,                0.60352,                 0.5998,                 1.1775,              0.0012026,              0.0012026,              0.0012026
                     19,                0.84712,                0.81793,                 1.3362,                0.73643,                0.88194,                0.85692,                0.71033,                 0.6434,                 0.6099,                 1.2007,              0.0011885,              0.0011885,              0.0011885
                     20,                 0.8696,                0.81682,                   1.33,                0.79788,                0.88683,                0.87033,                0.72871,                0.60292,                0.56151,                  1.144,              0.0011744,              0.0011744,              0.0011744
                     21,                0.85007,                0.77972,                  1.322,                0.89936,                0.88194,                0.89634,                0.71764,                0.67604,                0.57574,                 1.1929,              0.0011602,              0.0011602,              0.0011602
                     22,                0.84195,                0.79102,                 1.3221,                0.90285,                0.90379,                0.91465,                0.75225,                0.59423,                0.55001,                 1.1455,              0.0011461,              0.0011461,              0.0011461
                     23,                0.80187,                0.75389,                 1.2769,                0.87555,                0.86758,                0.89432,                0.75533,                 0.6047,                0.54393,                 1.1484,              0.0011319,              0.0011319,              0.0011319
                     24,                0.79293,                0.73578,                   1.28,                0.93631,                0.84808,                0.90385,                0.77454,                0.53606,                0.56835,                 1.0978,              0.0011178,              0.0011178,              0.0011178
